"","state","state_name","population2014","killedbypolice2015","violent_crime2014","murder_nonnegligent_manslaughter2014","police_officers2014","killedbypolice2015_per100k","violent_crime2014_per100k","murder_nonnegligent_manslaughter2014_per100k","police_officers2014_per100k"
"1","AL","alabama",4849377,19,20727,276,7698,0.391802905816562,427.41572783473,5.69145273712479,158.742040472415
"2","AK","alaska",736732,5,4684,41,1258,0.678672841684629,635.78071809016,5.56511730181396,170.754086967853
"3","AZ","arizona",6731484,42,26916,319,12663,0.623933741801956,399.852395103368,4.73892532463867,188.11602315329
"4","AR","arkansas",2966369,5,14243,165,5917,0.168556238283234,480.149300373622,5.56235586334674,199.46945238438
"5","CA","california",38802500,196,153709,1699,77190,0.50512209264867,396.131692545583,4.37858385413311,198.930481283422
"6","CO","colorado",5355866,29,16554,151,10478,0.541462389088898,309.081668585435,2.8193386466353,195.635962512878
"7","CT","connecticut",3596677,4,8522,86,8634,0.111213767597146,236.940931865719,2.39109600333864,240.054917358439
"8","DE","delaware",935614,3,4576,54,2194,0.320645052339961,489.090586502553,5.77161094211929,234.498414944625
"9","DC","district of columbia",658893,5,8199,105,4535,0.758848553558772,1244.35985812567,15.9358196247342,688.275638077806
"10","FL","florida",19893297,68,107521,1149,36054,0.341823680609604,540.488587688607,5.77581483853581,181.236926186745
"11","GA","georgia",10097343,37,38097,580,19881,0.366433030946854,377.297275134657,5.74408534997771,196.893380763633
"12","HI","hawaii",1419561,5,3680,26,3006,0.352221567090107,259.235073378319,1.83155214886856,211.755606134573
"13","ID","idaho",1634464,7,3468,32,2725,0.428274957417233,212.179650331852,1.95782837676449,166.721322708851
"14","IL","illinois",12880580,20,47663,685,24358,0.155272511020466,370.037684638425,5.31808350245098,189.106391171826
"15","IN","indiana",6596855,21,24099,330,8763,0.318333508922055,365.310439595838,5.00238371163229,132.836025651617
"16","IA","iowa",3107126,5,8497,60,5003,0.160920413269369,273.468150309965,1.93104495923242,161.01696551733
"17","KS","kansas",2904021,11,10123,91,6804,0.378785139639142,348.585633506094,3.13358615519654,234.295826373156
"18","KY","kentucky",4413457,18,9340,160,7101,0.407843556649583,211.625489950395,3.62527605910741,160.894283098261
"19","LA","louisiana",4649676,25,23934,477,10037,0.537671872190664,514.745543560455,10.2587793213979,215.864503247108
"20","ME","maine",1330089,2,1700,21,2285,0.150365877772089,127.810996106276,1.57884171660693,171.793015354612
"21","MD","maryland",5976407,15,26661,365,15893,0.25098692241007,446.104155891659,6.10734844531171,265.929010524216
"22","MA","massachusetts",6745408,10,26399,132,16644,0.148249001394727,391.362538781939,1.95688681841039,246.745637921383
"23","MI","michigan",9909877,18,42348,535,17028,0.181636966836218,427.331237310009,5.39865429207648,171.828570627062
"24","MN","minnesota",5457173,13,12505,88,8879,0.238218579473291,229.147948947193,1.61255653797305,162.703289780258
"25","MS","mississippi",2994079,11,8338,258,2524,0.367391775567712,278.482965880326,8.61700709967907,84.2997128666278
"26","MO","missouri",6063589,22,26856,403,14458,0.362821424737066,442.906008306302,6.64622882586534,238.439643584023
"27","MT","montana",1023579,4,3313,37,1435,0.390785664809458,323.668226878433,3.61476739948748,140.194357250393
"28","NE","nebraska",1881503,9,5275,54,3644,0.478340985903291,280.360966737762,2.87004591541975,193.674950292399
"29","NV","nevada",2839099,16,18045,170,5501,0.563559072790347,635.588966781363,5.98781514839743,193.758653713731
"30","NH","new hampshire",1326813,3,2602,12,2583,0.226105713465274,196.109022145547,0.904422853861094,194.677019293601
"31","NJ","new jersey",8938175,23,23346,349,29668,0.257323223141189,261.194259454531,3.90460021201196,331.924581919687
"32","NM","new mexico",2085572,19,12459,101,3341,0.911021053217055,597.390068527963,4.84279612499592,160.195859936746
"33","NY","new york",19746227,25,75398,617,58370,0.126606465123692,381.834970295844,3.12464755925271,295.600774770795
"34","NC","north carolina",9943964,24,32767,510,23980,0.241352442547057,329.516478539142,5.12873940412495,241.151315511601
"35","ND","north dakota",739482,1,1960,22,1593,0.13522979599233,265.050400144966,2.97505551183125,215.421065015781
"36","OH","ohio",11594163,33,33030,464,9616,0.284625979469152,284.884730359578,4.00201377192989,82.9382854113747
"37","OK","oklahoma",3878051,38,15744,175,6897,0.979873653028287,405.977126138877,4.5125760336829,177.847068024634
"38","OR","oregon",3970239,17,9224,81,6356,0.428185809468901,232.328582737714,2.04017944511653,160.091117940255
"39","PA","pennsylvania",12787209,22,40164,614,24611,0.172046925955461,314.095124276142,4.80167329712058,192.465767940447
"40","RI","rhode island",1055173,1,2313,25,2497,0.0947711891794047,219.205760571963,2.36927972948512,236.643659380974
"41","SC","south carolina",4832482,21,24052,311,9552,0.434559300996879,497.715252741759,6.4356163147633,197.662402053438
"42","SD","south dakota",853175,2,2786,20,1669,0.234418495619304,326.544964397691,2.34418495619304,195.62223459431
"43","TN","tennessee",6549352,19,39848,371,16774,0.29010503634558,608.426604647299,5.66468255180054,256.116941034777
"44","TX","texas",26956958,107,109414,1184,38512,0.396929060022277,405.88407638577,4.39218698192875,142.864784668953
"45","UT","utah",2942902,10,6346,67,4879,0.339800645757147,215.637489797486,2.27666432657289,165.788735064912
"46","VT","vermont",626562,0,622,10,1194,0,99.2718996683489,1.59601124868728,190.563743093261
"47","VA","virginia",8326289,21,16340,338,18858,0.252213200862953,196.245890576222,4.05943151865135,226.487454374932
"48","WA","washington",7061530,21,20136,174,10311,0.297385977259886,285.150668481193,2.46405524015334,146.016514834604
"49","WV","west virginia",1850326,11,5588,74,3534,0.594489835845143,302.000836609333,3.99929525932187,190.993370897885
"50","WI","wisconsin",5757564,12,16714,165,12776,0.208421478250177,290.296382289454,2.86579532593993,221.899400510355
"51","WY","wyoming",584153,5,1142,16,1322,0.855940138970441,195.496727740849,2.73900844470541,226.310572743785
